Verb,Noun,Prep,Prep_obj,Class_label
been,orders,for,Cray-3,N
announced,spinoff,in,May,V
is,designer,of,Cray-3,N
needing,million,in,financing,N
link,note,to,presence,V
complicate,valuation,of,company,N
describe,chips,as,being,V
face,competition,from,Research,N
has,%,of,market,N
roll,machine,in,1991,V
receive,share,for,they,N
calculate,value,at,4.75,V
been,drain,on,earnings,N
report,profit,of,million,N
report,profit,for,half,V
paid,600000,at,Research,V
expects,force,of,450,N
expects,force,by,end,V
was,president,of,company,N
named,president,of,company,N
was,president,of,unit,N
succeed,Hatch,as,president,V
was,president,of,Edison,N
named,president,of,Utilities,N
claiming,success,in,diplomacy,N
removed,Korea,from,list,V
improve,protection,of,property,N
made,progress,on,issue,V
is,realization,around,world,V
improved,standing,with,U.S.,N
protect,producers,from,showings,V
compel,number,of,parlors,N
pose,problems,for,owners,N
be,one,of,countries,N
issue,review,of,performance,N
issue,review,by,30,V
merit,investigation,under,provision,N
reach,reduction,of,%,N
CHANGED,face,of,computing,N
use,sets,as,screens,V
stored,data,on,audiocassettes,V
was,advance,from,I,N
triggered,development,in,models,N
store,pages,of,data,N
store,pages,in,memories,V
developed,system,for,PCs,N
adapted,one,of,versions,N
developed,drives,for,PCs,N
were,co-developers,of,modems,N
share,data,via,telephone,V
acquired,Inc.,for,million,V
sells,products,under,label,V
owns,%,of,stock,N
increase,interest,to,%,V
has,reserves,of,barrels,N
make,barrels,from,fields,N
make,barrels,from,fields,N
completed,sale,of,subsidiary,N
Following,acquisition,of,Scherer,N
is,part,of,program,N
approved,treatment,for,imports,N
requested,treatment,for,types,V
grant,status,for,categories,V
turned,treatment,for,types,V
is,seller,of,watches,N
be,beneficiaries,of,action,N
left,Magna,with,capacity,V
reported,declines,in,profit,N
cut,dividend,in,half,V
seek,seat,in,Parliament,N
cut,costs,throughout,organization,V
pursue,career,with,Magna,N
named,director,of,company,N
show,interest,of,investors,N
eliminate,risk,of,prepayment,N
redeploy,money,at,rates,V
channel,payments,into,payments,V
reducing,burden,on,investors,N
boosted,investment,in,securities,N
become,purchasers,of,debt,N
buying,billion,in,bonds,N
named,director,of,concern,N
expanding,board,to,members,V
giving,protection,from,lawsuits,N
began,offer,for,shares,N
owns,%,of,shares,N
reflects,intensity,of,intervention,N
follows,decline,in,reserves,N
kicked,issue,at,Board,V
mirrors,mania,of,1920s,N
brings,number,of,funds,N
hold,smattering,of,securities,N
get,taste,of,stocks,N
paying,premium,for,funds,V
reflect,marketing,of,funds,N
buy,receipts,on,stocks,N
buy,receipts,in,funds,V
holding,talks,about,repayment,N
extend,credit,to,countries,V
are,members,of,Fund,N
settled,debts,with,countries,V
stressed,debts,as,key,V
settle,hundreds,of,millions,N
booked,billion,in,orders,N
remove,effects,of,patterns,N
cite,lack,of,imbalances,N
provide,signals,of,downturn,N
had,news,on,front,N
fell,%,to,billion,V
rose,%,in,September,V
boost,spending,on,homes,N
rose,%,to,billion,V
ran,%,above,level,N
reported,increase,in,contracts,N
considered,forecast,of,recession,N
gauges,difference,between,number,N
reporting,improvement,in,area,N
polled,members,on,imports,V
reported,shortage,of,milk,N
are,figures,for,spending,N
have,lot,in,common,V
is,society,of,lore,N
perpetuate,notion,of,Japanese,N
carries,message,for,relations,N
mark,her,as,anything,V
is,one,of,writers,N
carry,dashes,of,Americana,N
give,way,to,baseball,V
is,mirror,of,virtues,N
is,Japanese,for,spirit,N
have,miles,of,it,N
named,star,as,symbol,V
return,balls,to,ushers,V
sidestep,shame,of,defeat,N
's,complaint,of,American,N
invades,aspects,of,lives,N
took,lesson,from,books,V
bans,smoking,in,restaurants,V
launched,Week,at,Institute,V
opened,market,to,cigarettes,V
restricts,advertising,to,places,V
are,the,in,markets,N
build,center,for,meeting,N
draw,20000,to,Bangkok,V
renewed,application,in,August,V
win,membership,in,Organization,N
get,AIDS,through,sex,V
including,relations,with,men,N
increased,charges,by,%,V
bring,charges,into,line,V
establishing,ties,with,Poland,N
announced,million,in,loans,N
modify,agreement,with,Czechoslovakia,N
seek,billion,from,Hungary,V
issue,dollars,of,debentures,N
buy,amount,of,debentures,N
buy,amount,at,par,V
complete,issue,by,end,V
is,inheritor,of,spirit,N
laid,claim,to,that,N
revived,Artist,in,movie,V
playing,bass,in,ensembles,V
selling,copies,of,Cosmopolitan,N
including,skirmishes,with,artist,N
returning,waif,to,mother,V
gives,sense,of,purpose,N
alerts,him,to,inadequacy,V
tuck,girl,into,one,V
had,presence,in,front,N
makes,it,with,deal,V
managed,kind,of,achievement,N
brought,lover,into,home,V
called,Latour,in,film,V
has,Peck,in,portrayal,V
take,look,at,Lights,N
discussing,plans,with,three,V
build,version,of,twin-jet,N
build,sections,of,767,N
hit,market,in,mid-1990s,V
getting,boost,in,campaign,V
leading,contests,of,1989,N
reached,levels,of,hostility,N
became,form,in,1988,V
Take,look,at,commercials,V
set,tone,for,elections,V
file,taxes,for,years,V
hid,links,to,company,N
paid,kidnapper,through,organization,V
prosecute,case,of,corruption,N
shows,photos,of,politicians,N
Compare,candidates,for,mayor,N
opposed,ban,on,bullets,N
's,situation,of,ads,N
made,secret,of,it,N
pay,95142,in,funds,N
blamed,problems,on,errors,V
had,reservations,about,language,N
opened,battle,with,Coleman,N
opened,battle,with,commercial,V
give,it,to,politicians,V
take,right,of,abortion,N
launch,series,of,advertisements,N
shake,support,among,women,N
featured,close-up,of,woman,N
propelling,region,toward,integration,V
sparking,fears,of,domination,N
tripled,commitments,in,Asia,N
tripled,commitments,to,billion,V
approved,million,of,investment,N
approved,million,in,1988,V
approved,million,of,investment,N
includes,increases,in,trade,N
pumping,capital,into,region,V
seek,sites,for,production,V
share,burdens,in,region,V
is,part,of,evolution,N
turn,themselves,into,multinationals,V
turn,Asia,into,region,V
spur,integration,of,sectors,N
make,tubes,in,Japan,V
assemble,sets,in,Malaysia,V
export,them,to,Indonesia,V
consider,framework,for,ties,N
offered,plan,for,cooperation,N
offered,plan,in,speech,V
playing,role,in,region,V
play,role,in,designing,V
outstrips,U.S.,in,flows,V
outranks,it,in,trade,V
remains,partner,for,all,V
pumping,assistance,into,region,V
voice,optimism,about,role,V
convey,undertone,of,caution,N
's,understanding,on,part,N
expand,functions,in,Asia,V
approach,it,with,attitude,V
be,gain,for,everyone,V
regard,presence,as,counterweight,V
step,investments,in,decade,V
giving,Test,of,Skills,N
giving,Test,to,graders,V
is,example,of,profession,N
matched,answers,on,section,V
had,answers,to,all,V
surrendered,notes,without,protest,V
use,notes,on,test,V
be,one,of,the,N
given,questions,to,classes,V
display,questions,on,projector,V
was,days,in,jail,V
is,one,of,downfall,N
became,something,of,martyr,N
casts,light,on,side,V
enforce,provisions,of,laws,N
win,bonus,under,1984,V
is,pressure,on,teachers,N
suspects,responsibility,for,erasures,N
changed,answers,to,ones,V
force,districts,into,interventions,V
posts,score,of,the,N
use,SAT,as,examination,V
paying,price,by,stressing,V
rates,one,of,states,N
is,way,for,administrators,N
take,it,at,all,V
keeping,track,of,booklets,N
was,enrollment,in,honors,N
becoming,principal,in,years,V
clean,deadwood,in,faculty,N
ushered,spirit,for,betterment,N
taught,students,in,program,N
consider,teaching,as,career,V
won,money,for,school,V
had,Yeargin,in,year,V
gave,ambitions,in,architecture,N
polish,furniture,in,classroom,N
correcting,homework,in,stands,V
defended,her,to,colleagues,V
earn,points,in,program,V
was,improvement,on,tests,N
Winning,bonus,for,year,V
attending,seminar,in,Washington,V
copied,questions,in,the,V
gave,answers,to,students,V
help,kids,in,situation,V
lift,scores,near,bottom,N
is,president,of,School,N
have,sympathy,for,her,V
taking,law,into,hands,V
said,something,like,want,N
turned,knife,in,me,V
decried,testing,on,show,V
give,particulars,of,offense,N
recommend,Yeargin,for,offenders,V
expunged,charges,from,record,V
cranked,investigation,of,case,N
carried,logo,on,front,V
did,lot,of,harm,N
cast,aspersions,on,all,V
casts,doubt,on,wisdom,V
evaluating,schools,by,using,V
opened,can,of,worms,N
find,answer,in,worksheets,V
give,them,in,weeks,V
is,difference,between,test,V
took,booklets,into,classroom,V
give,questions,to,students,V
rate,closeness,of,preparatives,N
was,publication,of,House,N
represented,form,of,CAT,N
completed,acquisition,of,Sacramento,N
completed,acquisition,for,million,V
has,offices,in,California,V
had,assets,of,billion,N
had,assets,at,end,V
extend,moratorium,on,funding,N
oppose,funding,for,abortion,V
implant,tissue,into,brain,V
placed,moratorium,on,research,V
pending,review,of,issues,N
fill,posts,at,helm,V
withdrawn,names,from,consideration,V
asked,them,for,views,V
is,director,of,Institute,N
imposing,tests,for,posts,V
be,role,for,make,V
make,judgments,about,applications,V
is,one,of,institutions,N
conducting,research,on,transplants,V
provide,incentive,for,one,N
spends,million,on,research,V
added,1.01,to,456.64,V
was,beginning,for,November,N
gained,1.39,to,446.62,V
gaining,1.28,to,449.04,V
jumped,3.23,to,436.01,V
permit,banks,from,regions,N
bid,shares,of,banks,N
bid,shares,on,news,V
surged,3,to,69,V
rose,7,to,18,V
rise,3,to,18,V
added,5,to,8,V
gained,1,to,4,V
reporting,loss,of,million,N
assuming,fluctuation,in,rates,N
achieve,earnings,in,1990,V
surged,3,to,55,V
begin,offer,for,all,V
rose,1,to,13,V
acquiring,Radio,in,swap,V
tumbled,4,to,14,V
owns,%,of,Radio,N
paying,shareholders,with,shares,V
lost,3,to,21,V
issued,Monday,under,rights,V
resolve,disputes,with,company,V
had,stake,in,Rally,V
seek,majority,of,seats,N
seek,majority,on,board,V
slipped,7,to,10,V
post,loss,for,quarter,V
had,income,of,million,N
had,income,on,revenue,V
threatened,sanctions,against,lawyers,V
report,information,about,clients,V
provide,information,about,clients,V
returned,forms,to,IRS,V
become,witness,against,client,N
red-flag,problem,to,government,V
received,letters,in,days,V
Filling,forms,about,individuals,V
spark,action,against,clients,V
passed,resolution,in,1985,V
disclosing,information,about,client,V
prevent,client,from,committing,V
bring,actions,against,taxpayers,V
opposed,stance,on,matter,N
had,knowledge,of,actions,N
had,knowledge,in,week,V
provide,information,about,clients,V
obtain,returns,of,individual,N
obtained,forms,without,permission,V
pass,me,in,three,V
ask,them,for,loan,V
increased,pay,by,%,V
discuss,salary,in,detail,V
suing,Guild,of,East,N
suing,Guild,for,million,V
began,strike,against,industry,V
honor,strike,against,company,V
preventing,guild,from,punishing,V
prohibits,use,of,funds,N
assist,woman,in,obtaining,V
prohibits,funding,for,activities,V
are,source,of,funding,N
are,source,for,services,V
violate,freedom,of,speech,N
violate,rights,of,women,N
CLEARS,JUDGE,of,bias,N
CLEARS,JUDGE,in,comments,V
sparked,calls,for,inquiry,N
sparked,calls,with,remarks,V
sentencing,defendant,to,years,V
killing,men,in,park,V
breach,standards,of,fairness,N
violate,code,by,commenting,V
began,arguments,in,courtroom,V
charged,GAF,with,attempting,V
manipulate,stock,of,Corp.,N
joined,firm,of,Mayer,N
became,partner,in,Washington,V
reached,agreement,in,principle,V
buy,buildings,in,Albany,V
bid,equivalent,on,contracts,V
offered,yen,for,contract,V
bid,yen,in,auctions,V
lost,contract,to,Fujitsu,V
summoned,executives,from,companies,N
understood,concern,about,practices,N
investigating,bids,for,violations,V
had,reputation,for,sacrificing,V
accepting,gifts,from,businessmen,V
been,complaints,about,issue,V
have,access,to,procurement,V
win,contract,in,prefecture,V
design,system,for,library,V
plan,telecommunications,for,prefecture,V
withdraw,bids,in,Hiroshima,V
completed,sale,of,four,N
retaining,stake,in,concern,V
owns,chain,of,stores,N
rose,%,to,32.8,V
rose,%,to,29.3,V
made,purchase,in,order,V
bought,plant,in,Heidelberg,V
reflects,slowdown,in,demand,V
take,a,for,period,V
cover,restructuring,of,operations,N
citing,weakness,as,decision,N
been,slowing,in,rate,V
make,reductions,in,expenses,V
had,loss,of,million,N
had,profit,of,million,N
rose,%,to,million,V
reflects,switch,from,wafers,V
converting,Clara,to,facility,V
elected,director,of,maker,N
increasing,membership,to,10,V
posted,gains,against,currencies,V
underpin,dollar,against,yen,V
kept,currency,from,plunging,V
posted,gains,against,yen,V
is,force,in,market,V
traced,performance,against,yen,N
traced,performance,to,purchases,V
cites,deal,as,the,N
cites,deal,as,evidence,V
prompted,speculation,in,market,V
spurred,dollar,by,institutions,V
lock,returns,on,debt,N
showed,interest,in,evidence,V
following,release,of,report,V
measures,health,of,sector,N
boosted,expectations,in,day,V
turned,ratings,at,NBC,N
turned,ratings,since,debut,V
keeps,millions,of,viewers,N
keeps,millions,on,network,V
bought,reruns,for,prices,V
losing,Cosby,to,competitor,V
make,commitments,to,World,N
take,Cosby,across,street,V
is,point,in,week,V
been,disappointment,to,us,V
been,return,for,dollar,V
opened,office,in,Taipei,V
is,part,of,Group,N
offering,pages,of,space,N
thumbing,nose,at,advertisers,V
made,debut,with,promise,V
give,scoop,on,crisis,N
dumped,energy,into,rampage,V
be,some,of,folks,N
raised,ire,of,others,N
ran,diagram,of,product,N
is,one,of,products,N
is,one,in,terms,V
need,Soups,of,world,N
make,run,of,it,N
have,base,of,spenders,N
featured,ads,from,handful,N
support,magazine,over,haul,V
sold,copies,of,issue,N
has,orders,for,subscriptions,N
makes,supplier,of,programming,N
providing,programming,in,return,V
sell,time,to,clients,V
named,Spiro,as,agency,V
awarded,account,for,line,N
awarded,account,to,Mather,V
completed,acquisition,of,Associates,N
increase,price,of,plan,N
made,offer,for,Containers,N
sell,billion,of,assets,N
use,some,of,proceeds,N
buy,%,of,shares,N
buy,%,for,70,V
ward,attempt,by,concerns,N
offered,50,for,Containers,V
sweetened,offer,to,63,V
increase,price,above,level,V
characterizing,it,as,device,V
receiving,36,in,cash,V
place,shares,in,market,V
requiring,roofs,for,minivans,V
equip,minivans,with,belts,V
represents,milestone,in,program,N
promote,safety,in,minivans,N
promote,safety,through,extension,V
impose,standards,on,vans,V
including,members,of,Congress,N
urging,department,for,years,V
extend,requirements,to,vans,V
carry,people,than,cargo,N
have,features,as,cars,V
have,luck,during,administration,V
require,equipment,in,minivans,V
withstand,force,of,weight,N
has,belts,in,trucks,V
phasing,them,by,end,V
meet,standard,for,cars,N
met,standards,for,resistance,V
installing,belts,in,trucks,V
joins,board,of,company,N
joins,board,on,1,V
held,talks,with,partners,V
dropped,opposition,to,bills,N
allow,banking,by,banks,V
allow,banking,within,England,V
had,conversations,with,people,N
drop,opposition,to,legislation,N
declining,%,to,million,V
lay,%,of,force,N
cut,dividend,to,cents,V
is,2,to,stock,N
reported,income,of,million,N
become,chairman,in,May,V
issued,Monday,in,plan,V
receive,1,of,cent,N
receive,1,as,payment,V
resolve,disputes,with,company,N
hold,stake,in,Rally,N
seek,majority,of,seats,N
announced,tag,for,Cabernet,N
is,peak,of,experience,N
introduced,wine,at,dinner,V
is,high,for,Sauvignon,V
weighed,fall,with,price,V
is,category,of,superpremiums,N
included,stable,of,classics,N
boast,share,of,bottles,N
was,Blanc,de,Blancs,N
steal,march,on,Burgundy,N
offered,Corton-Charlemagne,for,155,V
exhausted,supply,of,wines,N
seen,decrease,in,demand,N
Take,Cabernet,from,Creek,N
yielded,cases,in,1987,V
sell,it,for,60,V
Offering,wine,at,65,V
sent,merchants,around,country,N
check,one,of,answers,N
are,people,with,opinions,V
wins,ratings,from,critics,V
add,it,to,collection,V
's,sort,of,thing,N
's,sort,with,people,V
increased,prices,on,wines,N
see,resistance,to,Burgundies,N
keep,Cristal,in,stock,V
lowering,price,from,115,V
's,question,of,quality,N
have,ideas,about,value,V
buy,Tache,at,moment,N
is,writer,in,York,V
increasing,pressure,on,Reserve,N
see,slowing,in,quarter,V
is,cause,for,concern,N
cut,rate,by,point,V
shown,sign,of,movement,N
noted,orders,for,types,V
is,chance,of,recession,N
put,percentage,on,it,V
mailing,materials,to,shareholders,V
receive,one,for,shares,V
buy,100,of,bonds,N
buy,shares,at,cents,V
owns,%,of,Integra,N
rejected,contract,on,Tuesday,V
continue,shipments,during,stoppage,V
sell,billion,in,bonds,N
sell,billion,next,week,V
raise,money,in,markets,V
pay,billion,in,bills,N
cause,disruption,in,schedule,N
raise,billion,in,cash,V
redeem,billion,in,notes,N
sell,billion,in,bills,N
sell,billion,on,Thursday,V
approves,increase,in,ceiling,N
clearing,way,for,offering,N
raise,billion,in,quarter,V
end,December,with,balance,V
raise,total,of,billion,N
acquired,Inc.,in,transaction,V
has,sales,of,million,N
took,advantage,of,rally,N
buy,shares,of,targets,N
had,effect,on,markets,V
posted,rise,in,profit,N
posted,rise,in,half,V
sold,unit,to,company,V
supplies,services,to,industry,V
acquire,Corp.,for,50,V
stepping,pressure,on,concern,N
follows,proposal,by,NL,N
rebuffed,offer,in,September,V
made,proposals,to,shareholders,V
own,stake,in,Gulf,N
owns,%,of,Inc.,N
rose,cents,to,15,V
put,dollars,in,equity,N
finance,remainder,with,debt,V
answer,offer,by,Tuesday,V
followed,offers,with,offer,V
gain,millions,of,dollars,N
representing,University,of,Pennsylvania,N
added,Johnson,to,lawsuit,V
challenging,member,over,rights,V
filed,suit,in,court,V
developed,Retin-A,in,1960s,V
licensed,Retin-A,to,division,V
focusing,attention,on,differences,V
's,one,of,subjects,N
see,rhetoric,as,signal,V
discussing,negotiations,with,leaders,V
have,opportunity,at,investment,N
devoted,all,of,briefing,N
devoted,all,to,subject,V
gain,influence,at,company,V
grant,seats,on,board,N
made,hay,with,troubles,V
use,experience,in,talks,V
seek,access,to,markets,N
get,share,of,attention,N
has,litany,of,recommendations,N
has,litany,for,the,V
need,action,across,range,V
need,it,by,spring,V
have,sheaf,of,documents,N
increasing,stake,in,business,N
improves,access,to,technology,N
provides,source,of,capital,N
Take,deal,with,Corp.,N
set,sights,on,Japan,V
guided,Candela,through,maze,V
secured,approval,for,products,V
sold,million,of,devices,N
sold,million,in,Japan,V
gave,access,to,product,N
view,this,as,area,V
bankroll,companies,with,ideas,V
putting,money,behind,projects,V
financed,firms,for,years,V
invested,million,in,positions,V
invested,rise,from,figure,N
tracks,investments,in,businesses,N
involved,purchase,of,firms,N
parallels,acceleration,of,giving,N
giving,control,of,corporations,N
acquired,stake,in,Group,N
improve,access,to,knowledge,N
feed,anxieties,in,area,N
bought,interest,in,company,N
bought,interest,in,venture,V
give,window,on,industry,N
's,investment,in,company,N
see,market,from,inside,V
got,start,in,period,V
using,term,for,the,N
's,problem,of,businessman,N
has,relation,to,business,V
get,return,on,investment,N
double,number,of,affiliates,N
double,number,in,1990,V
provides,maintenance,to,airports,V
reported,loss,for,year,V
omitted,dividend,on,shares,N
been,president,since,1984,V
put,15000,in,certificate,V
deserve,something,for,loyalty,V
took,business,to,Atlanta,V
use,it,for,services,V
aiming,packages,at,the,V
targets,sub-segments,within,market,N
add,benefits,to,package,V
included,checks,for,fee,V
begot,slew,of,copycats,N
analyze,customers,by,geography,V
opened,field,for,products,V
extend,battles,into,towns,V
spread,accounts,over,institutions,V
runs,firm,in,Charlotte,V
introduce,line,in,1986,V
have,package,for,them,V
has,packages,for,groups,V
split,those,into,30,V
markets,accessories,for,computers,N
Send,child,to,university,V
Make,difference,in,life,N
Make,difference,through,Plan,V
spend,15000,like,change,V
helping,S&L,in,areas,V
send,support,to,institution,V
keep,Institution,off,deficit,V
is,lawyer,in,York,N
become,Parent,to,loan,V
send,information,about,institution,N
told,meeting,in,Washington,N
support,halts,of,trading,N
reinstating,collar,on,trading,V
take,effect,in,pit,V
following,review,of,the,N
fell,total,of,points,N
knocked,contract,to,limit,V
provides,respite,during,sell-offs,V
become,limit,for,contract,N
banned,trades,through,computer,V
expressed,concern,about,volatility,N
done,this,in,public,V
writing,report,to,panel,V
been,studies,of,issue,N
was,time,for,action,N
carry,legislation,in,months,V
expressed,concern,about,problems,V
is,one,of,the,N
calling,faithful,to,evensong,V
is,note,in,Aslacton,V
enjoying,peal,of,bells,N
drive,Sunday,from,church,V
diminish,ranks,of,group,N
playing,tunes,on,bells,V
have,names,like,Major,V
gives,idea,of,work,N
swap,places,with,another,V
become,bit,of,obsession,N
leaving,worship,for,others,V
set,line,in,protest,V
treated,tower,as,sort,V
are,members,of,congregation,N
following,dust-up,over,attendance,N
draw,people,into,church,V
improve,relations,with,vicars,N
entitled,Bells,in,Care,N
have,priority,in,experience,N
is,source,of,ringers,N
surfaced,summer,in,series,V
signing,letter,as,male,V
making,tea,at,meetings,V
take,comfort,in,arrival,V
signal,trouble,for,prices,V
be,trap,for,investors,N
kill,them,after,mating,N
give,way,to,environments,V
fell,%,in,1977,V
rose,%,in,1988,V
kept,pace,with,advances,V
keeping,watch,on,yield,V
pushes,yield,below,%,V
paying,percentage,of,flow,N
paying,percentage,in,form,V
buy,some,of,shares,N
factors,that,into,yield,V
get,yield,of,%,N
is,tad,below,average,V
reflecting,weakening,in,economy,N
forecasting,growth,in,dividends,N
is,tally,from,Poor,N
raised,dividends,in,October,V
measure,magnitude,of,changes,N
be,harbinger,of,growth,N
deliver,return,to,%,N
deliver,return,over,months,V
expects,growth,in,dividends,N
expects,growth,next,year,V
is,element,in,outlook,N
start,Co.,in,Boston,V
had,subsidiary,in,York,V
called,Co.,of,York,N
registered,days,before,application,N
dropped,basis,for,plight,N
reported,losses,for,quarters,V
build,business,over,year,V
servicing,base,of,systems,N
provide,maintenance,for,manufacturers,V
using,some,of,applications,N
pay,dividends,on,stock,V
set,rapprochement,between,Beijing,N
took,aim,at,interference,V
forgiven,leaders,for,assault,V
killed,hundreds,of,demonstrators,N
including,friends,of,China,N
expressed,regret,for,killings,N
reprove,China,for,it,V
imposed,series,of,sanctions,N
including,suspension,of,talks,N
is,envoy,for,administration,N
brief,president,at,end,V
raised,number,of,issues,N
raised,number,in,hours,V
restore,participation,in,Program,N
is,part,of,community,N
welcome,infusion,of,ideas,N
told,group,of,Americans,N
told,group,at,Embassy,V
are,signs,of,China,N
encounter,guards,with,guns,N
encounter,guards,during,visit,V
discarded,arms,for,time,V
filed,protests,with,Ministry,V
pointed,rifles,at,children,V
passing,buck,to,people,V
visited,lot,of,manufacturers,N
spending,lot,of,money,N
spending,lot,on,advertising,V
Earns,Ratings,Than,President,N
define,blacks,by,negatives,V
have,views,of,her,N
speaks,language,than,husband,N
have,view,of,spouse,N
disciplined,number,of,individuals,N
disciplined,number,for,violations,V
had,listing,for,party,N
selling,securities,at,prices,V
return,call,to,office,N
received,suspension,in,capacity,N
described,situation,as,problem,V
transacting,trades,for,days,V
sold,securities,to,public,V
sold,securities,at,prices,V
had,clients,at,all,V
resist,onslaught,of,trading,N
shrug,furor,over,activities,N
exploit,differences,between,prices,N
took,place,in,markets,V
forgotten,leap,in,prices,N
drove,stocks,in,the,V
suspend,trading,in,futures,N
suspend,trading,at,time,V
tightened,controls,on,purchases,N
reaped,chunk,of,earnings,N
reaped,chunk,from,arbitrage,V
joined,list,of,firms,N
doing,arbitrage,for,accounts,V
heads,Salomon,in,Tokyo,V
ascribe,part,of,success,N
ascribe,part,to,ability,V
offer,strategies,to,clients,V
is,cause,for,concern,N
is,cause,at,moment,V
manages,billion,in,funds,N
gained,following,since,crash,V
was,%,of,size,N
is,times,as,market,N
boost,wage,for,time,V
casting,vote,for,measure,N
cost,thousands,of,jobs,N
bend,bit,from,resistance,V
raising,wage,to,3.35,V
are,smiles,about,bill,N
praised,acceptance,of,wage,N
pay,subminimum,for,days,V
uses,program,for,workers,N
lift,floor,in,stages,V
received,contract,for,services,N
won,contract,for,aircraft,N
given,contract,for,equipment,N
got,contract,for,handling,N
made,acquisitions,in,mode,V
leading,bid,for,Corp,N
entice,Nekoosa,into,negotiating,V
pursue,completion,of,transaction,N
opens,possibility,of,war,N
make,bid,for,Nekoosa,N
picked,approach,to,management,N
picked,approach,as,president,V
Assuming,post,at,age,V
is,rule,in,universities,N
researching,book,on,Hahn,N
make,transition,to,world,N
spending,years,in,college,N
earned,doctorate,in,physics,N
engineered,turnaround,of,Georgia-Pacific,N
building,segment,of,company,N
buffet,products,from,cycles,V
attributes,gains,to,philosophy,V
be,concern,in,world,N
be,concern,with,combined,V
approved,portions,of,package,N
approved,portions,in,hopes,V
approved,million,in,guarantees,N
approved,million,under,program,V
provoked,threats,by,House,N
are,factor,in,shaping,N
reallocate,million,from,Pentagon,N
receive,portion,of,appropriations,N
fund,series,of,initiatives,N
received,quota,of,tons,N
received,quota,over,period,V
are,target,for,growers,N
began,bidding,by,proposing,V
broadened,list,by,including,V
has,ties,to,industry,N
insert,claim,by,Philippines,N
gave,approval,to,billion,V
carries,ban,on,flights,N
move,measure,to,House,V
bounce,bills,to,House,V
losing,night,with,Committee,N
Takes,Backseat,To,Safety,N
Takes,Backseat,on,Bridges,V
replace,openings,on,Bridge,N
blocks,view,of,park,N
keep,railings,on,Bridge,N
replace,trays,at,stands,N
takes,space,than,carriers,N
's,place,for,food,N
promises,change,on,sides,N
runs,gamut,from,blender,N
swap,teachers,at,Carnegie-Mellon,N
get,exposure,to,system,N
making,products,for,Soviets,N
renew,sense,of,purpose,N
IT'S,BIRDS,with,deal,N
seeking,solutions,to,shortage,N
contain,cells,with,point,N
compared,them,to,pyramids,V
house,inmates,at,cost,V
building,prison,in,York,V
cited,Corp.,for,violations,V
proposed,fines,of,million,N
was,record,for,proposed,N
cited,violations,of,requirements,N
proposed,million,in,fines,N
record,injuries,at,works,N
contest,penalties,before,Commission,V
was,million,for,alleged,N
emphasized,prevalance,of,alcoholism,N
had,multitude,of,disorders,N
lack,necessities,of,nutrition,N
predispose,person,to,homelessness,V
be,consequence,of,it,N
exhibits,combination,of,problems,N
quote,director,of,a,N
played,role,in,number,N
cite,groups,as,Association,N
got,support,from,groups,V
including,someone,from,staff,N
put,them,on,streets,N
raise,million,through,placement,V
