Verb,Noun,Prep,Prep_obj,Class_label
wooing,them,from,jobs,V
allocating,share,of,market,N
allocating,share,to,countries,V
negotiated,cut,in,quota,N
made,increase,to,allotment,V
negotiate,share,of,market,N
completed,talks,with,the,N
supplied,%,of,tons,N
allocate,%,to,suppliers,V
have,quotas,with,the,V
extend,quotas,until,31,V
termed,plan,despite,fact,V
was,one,of,countries,N
conclude,talks,with,the,N
doubled,quota,to,%,V
had,%,under,quotas,V
get,increase,to,%,N
increase,allowance,from,share,V
filling,quotas,to,extent,V
supplying,%,of,market,N
total,%,of,market,N
cut,quota,to,%,N
cut,quota,from,%,V
provide,%,of,steel,N
provide,%,under,program,V
had,%,of,market,N
have,%,of,market,N
give,leverage,with,suppliers,N
withdraw,subsidies,from,industries,V
had,income,of,272000,N
had,income,in,quarter,V
be,cents,on,revenue,N
reflect,decline,in,sales,N
expects,line,of,business,N
place,machines,in,hotels,V
realize,minimum,of,10,N
make,use,of,system,N
provide,system,for,telephone,V
producing,line,of,telephones,N
produce,5,of,earnings,N
produce,5,for,machine,V
purchase,shares,of,stock,N
purchase,stock,at,discount,V
require,spoonfuls,per,washload,V
had,success,with,soapsuds,V
bring,superconcentrates,to,the,V
won,stake,in,markets,N
study,results,from,market,N
hit,shelves,in,1987,V
embraced,convenience,of,products,N
gained,prominence,over,powders,N
market,product,under,name,V
dump,detergent,into,machine,V
takes,cup,of,powder,N
launch,detergent,under,name,V
hook,consumers,on,combinations,V
introduces,product,in,the,V
taking,share,from,the,V
has,%,of,market,N
expected,barrage,of,demands,N
reduce,surplus,with,the,N
had,tone,from,visit,V
get,action,by,summer,V
have,blueprint,for,action,V
offered,theories,for,difference,N
saw,it,as,tactic,V
have,strategy,in,administration,V
have,list,of,statutes,N
met,press,for,time,V
reiterated,need,for,progress,N
removing,barriers,to,trade,N
promote,importance,of,trade,N
summed,sense,of,relief,N
drawing,chuckles,from,colleagues,V
report,loss,for,quarter,N
seeking,increases,in,lines,N
estimate,amount,of,loss,N
show,profit,for,year,N
reported,income,of,million,N
was,million,on,revenue,N
file,report,with,the,V
resolving,accounting,of,settlement,N
settle,objections,to,practices,N
provide,refunds,to,customers,V
correct,deficiencies,in,system,N
completed,sale,of,subsidiary,N
operates,total,of,stores,N
operates,stores,in,the,N
post,drop,in,earnings,N
pushed,prices,in,period,V
be,element,of,earnings,N
supplied,technology,to,Soviets,V
governing,exports,of,tools,N
supplied,the,with,devices,V
build,parts,for,aircraft,N
cited,report,as,source,V
exported,million,in,systems,N
exported,million,to,industry,V
discussing,allegations,with,government,V
called,attention,to,matter,V
support,position,of,hawks,N
sent,signals,about,policies,N
reflecting,divisions,among,agencies,N
moved,administration,in,direction,V
allow,exceptions,to,embargo,N
liberalize,exports,of,computers,N
issue,warrants,on,shares,N
buy,share,at,price,V
carry,premium,to,price,V
issued,warrants,on,shares,N
is,one,of,handful,N
filed,suit,against,speculator,V
serving,term,for,violations,V
seeks,million,in,damages,N
visited,it,in,1983,V
signed,letter,of,intent,N
acquire,stake,in,company,N
purchased,bonds,in,transactions,V
realized,million,in,losses,N
combining,stake,with,stake,V
given,%,of,company,N
own,%,of,company,N
represent,%,of,company,N
stay,way,for,months,V
support,prices,into,1990,V
place,orders,over,months,V
be,level,since,1970s,N
were,bushels,on,31,V
boost,production,by,bushels,V
estimates,production,for,year,N
estimates,production,at,bushels,V
reduce,yield,from,crop,V
given,indication,of,plans,N
place,orders,for,wheat,N
place,orders,in,months,V
been,a,of,estimate,N
cut,price,of,concentrate,N
cut,price,to,1.34,V
stimulate,demand,for,product,N
Barring,snap,in,areas,N
capped,week,of,prices,N
reach,21.5,on,the,N
having,difficulties,with,exports,N
foresee,tightening,of,supplies,N
been,subject,of,speculation,N
been,subject,for,weeks,V
lead,buy-out,of,company,N
recommend,it,to,shareholders,V
is,part,of,board,N
analyzed,appointment,of,executive,N
becomes,member,of,board,N
has,reputation,as,manager,V
pave,way,for,buy-out,N
have,affect,on,them,V
had,impact,on,us,N
have,problem,with,announcement,N
awarded,account,to,office,V
ended,relationship,with,office,N
billed,million,in,1988,V
win,account,in,1981,V
have,effect,on,revenue,V
been,source,of,revenue,N
store,data,for,computers,V
elected,director,of,provider,N
increasing,board,to,members,V
filed,part,of,report,N
filed,part,with,the,V
provide,statements,by,end,V
named,chairman,of,processor,N
resigning,post,after,dispute,V
named,57,as,director,V
earned,million,on,sales,V
concerns,one,of,defenses,N
considering,all,in,light,N
offset,weakness,in,linage,N
posted,gain,in,income,N
reported,increase,in,revenue,N
was,demand,for,linage,N
gained,%,to,billion,V
included,gain,of,million,N
reflected,softness,in,advertising,N
reported,net,of,million,N
reported,net,for,quarter,V
expect,increase,for,rest,V
ease,damage,from,linage,N
report,earnings,for,quarter,N
angered,officials,in,the,N
signed,notices,for,plants,N
cast,doubt,on,futures,V
using,%,of,capacity,N
stepping,pace,of,consolidation,N
is,competition,from,plants,N
want,provisions,in,contract,V
get,strategy,in,place,V
became,head,of,department,N
blasting,insensitivity,toward,members,N
told,workers,of,moves,V
build,generation,of,cars,N
build,the,at,plant,V
have,product,after,1993,V
build,types,of,products,N
build,types,on,notice,V
taken,beating,as,result,V
used,plant,as,symbol,V
raised,obstacle,to,acquisition,N
marked,time,in,history,N
reached,conclusions,about,attempts,N
is,change,in,policy,N
be,settlement,of,dispute,N
citing,concerns,about,amount,N
contain,guarantees,on,levels,N
canceled,plans,for,swap,N
resume,payment,of,dividends,N
offer,number,of,shares,N
offer,number,in,exchange,V
resume,payments,of,dividends,N
suspended,payment,in,1985,V
face,competition,from,drugs,N
having,impact,on,company,V
generate,sales,of,million,N
lowering,costs,in,years,V
shedding,companies,with,margins,N
allowed,sales,from,drug,N
be,%,above,million,N
was,result,of,sales,N
earned,million,in,period,V
has,problems,with,estimate,N
achieve,increase,in,earnings,N
restricting,prescriptions,of,medicines,N
expects,loss,for,quarter,N
expecting,profit,for,period,N
reported,income,of,million,N
reported,income,in,period,V
accepted,resignation,of,president,N
earned,million,on,sales,V
has,garden,of,course,N
remembers,playground,by,eccentrics,N
has,sense,of,recall,N
transforms,her,into,the,V
owing,inspiration,to,cultures,V
calls,herself,in,book,V
reinvented,man,as,hero,V
remembered,her,as,figure,V
analyzed,families,by,arrangements,V
have,bedrooms,at,all,V
rhymed,river,with,liver,V
carried,change,of,clothing,N
carried,change,in,envelope,V
excised,heads,of,relatives,N
excised,heads,from,album,V
loses,momentum,toward,end,V
resuscitate,protagonist,of,work,N
take,psychiatrist,on,date,V
pay,million,as,part,V
regarding,cleanup,of,smelter,N
was,part-owner,of,smelter,N
make,unit,of,concern,N
exempting,it,from,liability,V
made,undertakings,with,respect,N
issued,statement,on,agreement,N
recover,contribution,from,others,N
recover,contribution,for,amount,V
issuing,dividends,on,stock,V
hold,meeting,for,shareholders,N
saluted,plunge,as,comeuppance,V
prove,harbinger,of,news,N
is,reaction,to,valuations,N
do,something,about,buy-outs,N
do,something,about,takeovers,N
lopped,billions,of,dollars,N
lopped,billions,off,value,V
been,change,in,economy,N
applaud,setbacks,of,speculators,N
projected,periods,of,decline,N
pushing,price,of,housing,N
is,amount,of,space,N
are,stores,for,rent,N
follows,decline,in,months,N
limiting,demand,for,space,N
exacerbates,problem,for,landlords,V
is,comfort,to,landlords,N
bemoaning,loss,of,businesses,N
been,jump,from,rates,N
command,rents,of,500,N
offers,rents,of,100,N
representing,shares,with,symbol,V
listed,shares,of,companies,N
listed,shares,of,company,N
marks,start,of,year,N
finds,influence,in,dissent,V
assume,role,after,years,V
accept,role,in,ways,V
are,newcomers,to,dissent,N
joining,forces,in,decade,V
cast,votes,in,cases,N
cast,votes,in,decisions,N
defending,importance,of,dissents,N
defending,importance,in,speech,V
was,dissenter,from,opinions,N
sweep,it,under,rug,V
is,flavor,to,dissents,V
curtail,right,to,abortion,N
be,liberal,of,four,N
enjoys,challenge,than,others,V
is,one,in,history,N
sold,deposits,of,institutions,N
sold,deposits,in,wave,V
prevented,sale,of,a,N
bought,thrift,in,transaction,V
leave,bulk,with,government,V
paid,premiums,for,systems,V
been,case,with,deals,N
been,one,of,payers,N
targeted,thrifts,for,sales,V
spend,cash,by,deadlines,V
continued,foray,into,markets,N
had,assets,of,billion,N
pay,premium,of,million,N
pay,the,for,billion,V
had,assets,of,million,N
pay,premium,of,million,N
pay,the,for,billion,V
acquire,million,of,assets,N
acquire,million,from,the,V
require,million,in,assistance,N
had,billion,in,assets,N
pay,premium,of,million,N
assume,billion,in,deposits,N
purchase,million,of,assets,N
had,million,in,assets,N
assume,million,in,deposits,N
purchase,million,in,assets,N
receive,million,in,assistance,N
receive,million,from,the,V
lowering,guarantee,to,advertisers,N
lowering,guarantee,for,year,V
de-emphasize,use,of,giveaways,N
cut,circulation,by,300000,V
increase,cost,of,rate,N
increase,cost,by,4,V
increase,rates,in,1990,V
be,%,per,subscriber,V
hold,rates,for,advertisers,V
become,forms,in,world,V
wean,itself,from,gimmicks,V
selling,magazine,with,radio,V
takes,focus,off,magazine,V
paint,cut,as,show,V
cut,circulation,from,million,V
's,show,of,weakness,N
improving,quality,of,circulation,N
announce,levels,for,1990,N
announce,levels,within,month,V
called,the,for,briefing,V
considered,laughingstock,of,news,N
draws,audiences,around,world,N
reposition,itself,as,channel,V
held,job,in,journalism,N
is,the,in,number,N
paying,salaries,after,years,V
break,stories,with,team,V
use,us,as,point,V
become,point,of,reference,N
spend,average,of,minutes,N
put,it,at,disadvantage,V
filled,schedule,with,newscasts,V
create,programs,with,identity,V
adding,show,in,morning,N
featured,show,during,period,V
produce,segments,with,eye,V
generate,excitement,for,programs,N
generate,excitement,in,way,V
's,departure,from,past,N
spend,money,on,production,V
make,investment,in,people,N
fear,tinkering,with,format,N
market,cable-TV,on,opportunities,V
Backs,View,in,Case,N
leave,realm,of,reporting,N
enter,orbit,of,speculation,N
leaving,transaction,in,limbo,V
withdrew,application,from,the,V
lend,money,in,amounts,N
included,million,in,deposits,N
save,million,in,costs,N
seek,buyer,for,branches,N
posted,loss,of,million,N
trying,tack,in,efforts,N
numbering,700,to,1000,N
have,ring,to,it,N
renewed,arguments,in,states,V
justify,dismissal,of,actions,N
lacked,information,about,the,N
sent,cases,to,court,V
exceeded,assets,by,billion,V
closed,it,in,1988,V
dismisses,arguments,as,defense,V
including,reversal,of,foreclosure,N
asking,court,for,number,V
take,the,as,prize,V
named,president,of,company,N
brandishing,flags,of,the,N
gave,activists,upon,return,V
spent,years,in,prison,V
considered,leader,of,the,N
ease,shortages,across,nation,N
be,room,for,flexibility,N
allow,funding,of,abortions,N
are,vicitims,of,rape,N
reiterated,opposition,to,funding,N
expressed,hope,of,compromise,N
renewed,call,for,ouster,N
have,right,to,abortion,N
seize,fugitives,without,permission,V
following,postponement,of,flight,N
dispatch,probe,on,mission,V
facing,calls,for,reduction,N
purge,party,of,elements,N
made,remarks,to,gathering,V
presented,proposals,for,timetable,N
increases,power,for,Moslems,V
oppose,control,of,chain,N
is,move,in,battle,N
announced,formation,of,association,N
preserve,integrity,of,system,N
cause,damage,to,system,N
seeking,approval,for,withholdings,N
trigger,drop,in,the,N
play,role,in,decline,N
viewed,data,as,evidence,V
is,demand,in,economy,N
be,easing,of,policy,N
measures,changes,in,producers,N
is,rise,than,increase,N
leaving,pace,of,inflation,N
being,advance,in,prices,N
report,loss,of,million,N
provide,million,for,losses,V
mark,portfolio,of,bonds,N
mark,portfolio,to,market,V
divest,themselves,of,bonds,V
shed,operations,outside,markets,N
taking,charge,for,operations,N
suspend,payments,on,classes,N
have,concerns,about,health,V
had,loss,of,million,N
holds,one,of,portfolios,N
pared,holdings,to,million,V
provide,values,for,holdings,N
divest,themselves,of,bonds,N
added,million,to,reserves,V
sell,63,of,branches,N
sell,63,to,unit,V
is,centerpiece,of,strategy,N
transform,itself,into,S&L,V
expected,decision,on,transaction,N
interpret,delay,as,indication,V
reduce,assets,to,billion,V
give,capital,of,million,N
reduce,amount,of,will,N
reduce,amount,by,million,V
place,some,of,them,N
place,some,in,affiliate,V
name,any,of,cheeses,N
name,any,after,nibble,V
wins,slot,in,ratings,N
impose,quotas,against,invaders,N
seeking,classmates,for,reunions,V
won,bet,with,host,N
identify,dialects,over,telephone,V
pile,150,on,coin,V
selling,weight,in,pancakes,N
featuring,songs,from,each,N
make,fools,of,themselves,N
make,part,of,time,N
chronicles,fight,of,investigator,N
is,bane,of,television,N
authorized,channels,for,time,V
allow,television,alongside,channels,V
is,appetite,for,programming,N
caught,end,of,series,N
expanding,collaboration,between,contractors,N
have,sales,of,billion,N
strengthen,ties,between,companies,N
make,force,in,contracting,N
reshaped,world,of,manufacture,N
stirring,controversy,in,industry,N
join,fight,as,part,V
had,talks,about,bid,V
included,million,in,contracts,N
is,competitor,on,contracts,N
heighten,worries,about,concentration,N
is,name,of,game,N
is,response,to,environment,N
building,cooperation,with,Europeans,N
justify,ownership,of,venture,N
include,family,of,missiles,N
shift,emphasis,to,gas,V
been,swing,of,pendulum,N
is,output,of,crude,N
transports,%,of,all,N
intensify,reliance,on,oil,N
increase,dependence,on,crude,N
add,barrels,of,capacity,N
add,barrels,to,system,V
has,capacity,of,barrels,N
had,income,on,sales,N
reduced,shipments,by,tons,V
see,improvements,in,segments,N
had,net,of,million,N
Predicting,results,of,firms,N
taking,this,as,sign,V
expects,revenue,for,quarter,N
is,example,of,difficulty,N
show,earnings,for,period,N
expects,earnings,of,14,N
shape,industry,in,year,V
had,lock,on,market,N
carry,seller,with,them,V
improving,quality,of,material,N
receiving,calls,about,product,N
control,functions,of,computer,N
spells,trouble,for,firms,N
report,earnings,of,cents,N
is,highway,within,computer,N
tighten,hold,on,business,N
report,loss,of,cents,N
following,declines,throughout,1980s,N
is,news,for,state,N
was,state,in,the,N
lost,%,of,population,N
lost,%,during,1970s,V
aged,65,to,74,N
place,success,above,family,V
spend,time,with,families,V
are,priorities,for,group,N
represent,%,of,population,N
control,one-third,of,income,N
give,2500,to,charity,V
hold,jobs,in,management,N
make,%,of,officials,N
was,16489,in,1988,N
are,students,in,college,N
warned,citizens,against,game,V
is,blow,to,sport,N
admit,patrons,in,jeans,N
open,can,of,worms,N
is,stranger,to,cans,N
gave,favors,to,friends,N
taken,care,in,Man,V
wear,flowers,in,hair,N
wear,them,behind,ear,V
have,quality,of,color,N
be,tension,between,blacks,N
's,inheritor,of,tradition,N
's,man,in,water,N
was,spokesman,for,campaign,N
called,shvartze,with,mustache,N
articulate,analysis,of,behavior,N
is,form,of,racism,N
is,humor,of,underdog,N
cut,both,to,ribbons,V
is,form,of,mischief,N
facilitating,co-existence,of,groups,N
taboo,mention,of,differences,N
courting,mother,against,wishes,V
made,theme,of,courtship,N
lost,suit,on,grounds,V
is,tendency,of,sitcoms,N
enlighten,us,about,stereotypes,V
quits,job,as,salesman,N
quits,job,in,order,V
is,incompatibility,between,preachiness,N
putting,episodes,about,topics,N
interrupt,shtik,with,line,V
sound,shmaltzy,on,lips,V
signal,change,in,condition,N
elected,president,of,maker,N
been,executive,since,14,V
approve,bill,without,cut,N
putting,bill,in,category,V
keep,cut,in,version,V
need,this,as,way,V
make,approval,of,cut,N
resisting,bill,without,vote,N
win,issue,on,floor,V
give,benefits,to,executives,N
boost,funding,in,areas,V
required,sacrifice,by,senator,N
make,tax,on,calls,N
pay,benefits,for,retirees,N
raised,million,in,1990,N
acquire,securities,for,an,N
Speed,collection,of,tax,N
Withhold,taxes,from,paychecks,V
Change,collection,of,taxes,N
Restrict,ability,of,owners,N
impose,tax,on,departures,V
curbing,increases,in,reimbursements,N
impose,freeze,on,fees,N
reducing,deficit,by,billion,V
collect,million,from,users,V
Raising,million,by,increasing,V
establishing,fees,for,operators,N
found,cutbacks,in,companies,N
bothered,me,about,piece,V
showing,number,of,months,N
captioned,graph,as,Time,V
was,one,of,periods,N
reduced,rating,on,million,N
citing,turmoil,in,market,N
reduced,rating,on,debt,N
keep,debt,under,review,V
is,holder,of,bonds,N
divest,themselves,of,securities,N
divest,themselves,over,period,V
was,reason,for,downgrade,N
was,a,on,part,N
suffered,attack,of,nerves,N
see,support,until,2200,N
take,money,before,crash,V
was,massacre,like,those,N
marks,start,of,market,N
was,combination,in,1987,V
was,enthusiasm,for,funds,N
protect,investor,against,losses,V
carry,the,to,2000,V
's,case,at,all,V
sees,this,as,time,V
do,buying,on,behalf,V
is,manifestation,of,capacity,N
see,this,as,reaction,V
lodged,lot,of,securities,N
lodged,lot,in,hands,V
are,objects,of,takeovers,N
loaded,corporations,with,amounts,V
is,resiliency,in,economy,N
buy,companies,around,world,N
are,opportunity,for,guys,N
sees,problems,with,possibility,N
depend,deal,on,the,V
drew,criticism,from,clients,V
keeping,money,in,equivalents,V
supported,rights,of,witnesses,N
repeat,platitudes,as,indication,V
heaping,scorn,on,witnesses,V
sandwiched,praise,of,meat,N
sandwiched,praise,between,loaves,V
seeks,information,for,change,V
obtaining,information,from,officials,V
identify,sources,of,waste,N
is,player,on,stage,N
enhance,itself,into,body,V
draw,inference,against,officials,V
assert,privilege,against,self-incrimination,N
assert,privilege,in,hearings,V
be,witness,against,himself,N
precludes,drawing,of,inference,N
take,stand,as,witness,V
protect,defendant,in,matters,V
permit,drawing,of,inference,N
take,the,in,matter,V
subject,him,to,prosecution,V
take,the,in,matter,V
harms,him,in,matter,V
asserted,the,in,proceeding,V
receiving,advice,from,counsel,N
